Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,Université du Québec en Outaouais,Without senior administrative duties,Median (dollars),101250
2016/2017,Canada,Université du Québec en Outaouais,Assistant professor,Total teaching staff,60
2016/2017,Canada,Université du Québec en Outaouais,Assistant professor,Average (dollars),80800
2016/2017,Canada,Université du Québec en Outaouais,Assistant professor,Median (dollars),80000
2016/2017,Canada,Université du Québec en Outaouais,All ranks combined (including deans),Total teaching staff,243
2016/2017,Canada,Université du Québec en Outaouais,All ranks combined (including deans),Average (dollars),106000
2016/2017,Canada,Université du Québec en Outaouais,All ranks combined (including deans),Median (dollars),104300
2016/2017,Canada,Université du Québec en Outaouais,Male,Total teaching staff,114
2016/2017,Canada,Université du Québec en Outaouais,Male,Average (dollars),110700
2016/2017,Canada,Université du Québec en Outaouais,Male,Median (dollars),109150
2016/2017,Canada,Université du Québec en Outaouais,Female,Total teaching staff,129
2016/2017,Canada,Université du Québec en Outaouais,Female,Average (dollars),101850
2016/2017,Canada,Université du Québec en Outaouais,Female,Median (dollars),99750
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Full professor,Total teaching staff,69
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Full professor,Average (dollars),131400
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Full professor,Median (dollars),134500
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",With senior administrative duties,Total teaching staff,12
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",With senior administrative duties,Average (dollars),128850
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",With senior administrative duties,Median (dollars),127325
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Without senior administrative duties,Total teaching staff,57
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Without senior administrative duties,Average (dollars),131975
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Without senior administrative duties,Median (dollars),135150
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Associate professor,Total teaching staff,54
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Associate professor,Average (dollars),112275
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Associate professor,Median (dollars),112550
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",With senior administrative duties,Total teaching staff,3
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",With senior administrative duties,Average (dollars),x
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",With senior administrative duties,Median (dollars),x
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Without senior administrative duties,Total teaching staff,51
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Without senior administrative duties,Average (dollars),112900
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Without senior administrative duties,Median (dollars),113225
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Assistant professor,Total teaching staff,21
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Assistant professor,Average (dollars),93525
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Assistant professor,Median (dollars),93450
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",All ranks combined (including deans),Total teaching staff,153
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",All ranks combined (including deans),Average (dollars),119200
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",All ranks combined (including deans),Median (dollars),119125
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Male,Total teaching staff,114
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Male,Average (dollars),119200
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Male,Median (dollars),120075
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Female,Total teaching staff,36
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Female,Average (dollars),119175
2016/2017,Canada,"Université du Québec, Institut national de la recherche scientifique",Female,Median (dollars),115700
2016/2017,Canada,Université du Québec à Rimouski,Full professor,Total teaching staff,105
2016/2017,Canada,Université du Québec à Rimouski,Full professor,Average (dollars),127725
2016/2017,Canada,Université du Québec à Rimouski,Full professor,Median (dollars),129200
2016/2017,Canada,Université du Québec à Rimouski,With senior administrative duties,Total teaching staff,6
2016/2017,Canada,Université du Québec à Rimouski,With senior administrative duties,Average (dollars),133900
2016/2017,Canada,Université du Québec à Rimouski,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Université du Québec à Rimouski,Without senior administrative duties,Total teaching staff,99
2016/2017,Canada,Université du Québec à Rimouski,Without senior administrative duties,Average (dollars),127275
2016/2017,Canada,Université du Québec à Rimouski,Without senior administrative duties,Median (dollars),129200
2016/2017,Canada,Université du Québec à Rimouski,Associate professor,Total teaching staff,63
2016/2017,Canada,Université du Québec à Rimouski,Associate professor,Average (dollars),101500
2016/2017,Canada,Université du Québec à Rimouski,Associate professor,Median (dollars),99525
2016/2017,Canada,Université du Québec à Rimouski,With senior administrative duties,Total teaching staff,x
2016/2017,Canada,Université du Québec à Rimouski,With senior administrative duties,Average (dollars),x
2016/2017,Canada,Université du Québec à Rimouski,With senior administrative duties,Median (dollars),x
2016/2017,Canada,Université du Québec à Rimouski,Without senior administrative duties,Total teaching staff,63
2016/2017,Canada,Université du Québec à Rimouski,Without senior administrative duties,Average (dollars),101600
2016/2017,Canada,Université du Québec à Rimouski,Without senior administrative duties,Median (dollars),100650
2016/2017,Canada,Université du Québec à Rimouski,Assistant professor,Total teaching staff,21
2016/2017,Canada,Université du Québec à Rimouski,Assistant professor,Average (dollars),84600
2016/2017,Canada,Université du Québec à Rimouski,Assistant professor,Median (dollars),84700
2016/2017,Canada,Université du Québec à Rimouski,All ranks combined (including deans),Total teaching staff,195
2016/2017,Canada,Université du Québec à Rimouski,All ranks combined (including deans),Average (dollars),114250
2016/2017,Canada,Université du Québec à Rimouski,All ranks combined (including deans),Median (dollars),115850
2016/2017,Canada,Université du Québec à Rimouski,Male,Total teaching staff,111
2016/2017,Canada,Université du Québec à Rimouski,Male,Average (dollars),117950
2016/2017,Canada,Université du Québec à Rimouski,Male,Median (dollars),118700
2016/2017,Canada,Université du Québec à Rimouski,Female,Total teaching staff,84
2016/2017,Canada,Université du Québec à Rimouski,Female,Average (dollars),109325
2016/2017,Canada,Université du Québec à Rimouski,Female,Median (dollars),106400
2016/2017,Canada,"Université du Québec, École de technologie supérieure",Full professor,Total teaching staff,75
2016/2017,Canada,"Université du Québec, École de technologie supérieure",Full professor,Average (dollars),147175
2016/2017,Canada,"Université du Québec, École de technologie supérieure",Full professor,Median (dollars),148925
